,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,transformer_model
341,0.99,0.884396,0.802953,0.984,google/rembert
342,0.99,0.810783,0.802953,0.984,xlm-roberta-large
343,0.99,0.810783,0.802953,0.984,google/rembert
344,0.99,0.884396,0.802953,0.984,xlm-roberta-large
345,0.99,0.884396,0.802953,0.984,google/rembert
346,0.99,0.832729,0.802953,0.984,xlm-roberta-large
347,0.99,0.832729,0.802953,0.984,google/rembert
348,0.99,0.884396,0.802953,0.984,xlm-roberta-large
349,0.99,0.884396,0.802953,0.984,google/rembert
350,0.99,0.884396,0.802953,0.984,xlm-roberta-large
351,0.99,0.884396,0.802953,0.984,google/rembert
352,0.99,0.884396,0.802953,0.984,xlm-roberta-large
353,0.99,0.884396,0.802953,0.984,google/rembert
354,0.99,0.884396,0.802953,0.984,xlm-roberta-large
355,0.99,0.884396,0.802953,0.984,google/rembert
356,0.99,0.884396,0.802953,0.984,xlm-roberta-large
357,0.99,0.884396,0.802953,0.984,google/rembert
358,0.99,0.856256,0.802953,0.984,xlm-roberta-large
359,0.99,0.856256,0.802953,0.984,google/rembert
360,0.99,0.884396,0.802953,0.984,xlm-roberta-large
361,0.99,0.884396,0.802953,0.984,google/rembert
362,0.99,0.884396,0.802953,0.984,xlm-roberta-large
363,0.99,0.884396,0.802953,0.984,google/rembert
364,0.99,0.884396,0.802953,0.984,xlm-roberta-large
365,0.99,0.884396,0.802953,0.984,google/rembert
366,0.99,0.884396,0.802953,0.984,xlm-roberta-large
367,0.99,0.884396,0.802953,0.984,google/rembert
368,0.99,0.755832,0.802953,0.984,xlm-roberta-large
369,0.99,0.755832,0.802953,0.984,google/rembert
370,0.99,0.884396,0.802953,0.984,xlm-roberta-large
371,0.99,0.884396,0.802953,0.984,google/rembert
372,0.968,0.363542,0.802953,0.984,xlm-roberta-large
373,0.968,0.363542,0.802953,0.984,google/rembert
374,0.99,0.884396,0.802953,0.984,xlm-roberta-large
375,0.99,0.884396,0.802953,0.984,google/rembert
376,0.99,0.882322,0.802953,0.984,xlm-roberta-large
377,0.99,0.882322,0.802953,0.984,google/rembert
378,0.99,0.884396,0.802953,0.984,xlm-roberta-large
379,0.99,0.884396,0.802953,0.984,google/rembert
380,0.99,0.884396,0.802953,0.984,xlm-roberta-large
381,0.99,0.884396,0.802953,0.984,google/rembert
382,0.99,0.875065,0.802953,0.984,xlm-roberta-large
383,0.99,0.875065,0.802953,0.984,google/rembert
384,0.99,0.844997,0.802953,0.984,xlm-roberta-large
385,0.99,0.844997,0.802953,0.984,google/rembert
386,0.99,0.884396,0.802953,0.984,xlm-roberta-large
387,0.99,0.884396,0.802953,0.984,google/rembert
388,0.99,0.884396,0.802953,0.984,xlm-roberta-large
389,0.99,0.884396,0.802953,0.984,google/rembert
390,0.99,0.884396,0.802953,0.984,xlm-roberta-large
391,0.99,0.884396,0.802953,0.984,google/rembert
392,0.99,0.884396,0.802953,0.984,xlm-roberta-large
393,0.99,0.884396,0.802953,0.984,google/rembert
394,0.99,0.783826,0.802953,0.984,xlm-roberta-large
395,0.99,0.783826,0.802953,0.984,google/rembert
396,0.99,0.884396,0.802953,0.984,xlm-roberta-large
397,0.99,0.884396,0.802953,0.984,google/rembert
398,0.988,0.867046,0.802953,0.984,xlm-roberta-large
399,0.988,0.867046,0.802953,0.984,google/rembert
400,0.99,0.884396,0.802953,0.984,xlm-roberta-large
401,0.99,0.884396,0.802953,0.984,google/rembert
402,0.99,0.884396,0.802953,0.984,xlm-roberta-large
403,0.99,0.884396,0.802953,0.984,google/rembert
404,0.99,0.884396,0.802953,0.984,xlm-roberta-large
405,0.99,0.884396,0.802953,0.984,google/rembert
406,0.99,0.884396,0.802953,0.984,xlm-roberta-large
407,0.99,0.884396,0.802953,0.984,google/rembert
408,0.99,0.884396,0.802953,0.984,xlm-roberta-large
409,0.99,0.884396,0.802953,0.984,google/rembert
410,0.99,0.884396,0.802953,0.984,xlm-roberta-large
411,0.99,0.884396,0.802953,0.984,google/rembert
412,0.99,0.877138,0.802953,0.984,xlm-roberta-large
413,0.99,0.877138,0.802953,0.984,google/rembert
414,0.99,0.880249,0.802953,0.984,xlm-roberta-large
415,0.99,0.880249,0.802953,0.984,google/rembert
416,0.99,0.884396,0.802953,0.984,xlm-roberta-large
417,0.99,0.884396,0.802953,0.984,google/rembert
418,0.99,0.884396,0.802953,0.984,xlm-roberta-large
419,0.99,0.884396,0.802953,0.984,google/rembert
420,0.99,0.879212,0.802953,0.984,xlm-roberta-large
421,0.99,0.879212,0.802953,0.984,google/rembert
422,0.99,0.884396,0.802953,0.984,xlm-roberta-large
423,0.99,0.884396,0.802953,0.984,google/rembert
424,0.99,0.872991,0.802953,0.984,xlm-roberta-large
425,0.99,0.872991,0.802953,0.984,google/rembert
426,0.99,0.884735,0.802953,0.984,xlm-roberta-large
427,0.99,0.884735,0.802953,0.984,google/rembert
428,0.99,0.884396,0.802953,0.984,xlm-roberta-large
429,0.99,0.884396,0.802953,0.984,google/rembert
430,0.99,0.960581,0.802953,0.984,xlm-roberta-large
431,0.99,0.960581,0.802953,0.984,google/rembert
432,0.99,0.801268,0.802953,0.984,xlm-roberta-large
433,0.99,0.801268,0.802953,0.984,google/rembert
434,0.99,0.884396,0.802953,0.984,xlm-roberta-large
